"MaternalVial","vial_letter","PaternalStock","Treatment","co_inds.sum","ycv_count.sum","cvv_count.sum","vf_count.sum","num_M.sum","ycv_rr","cvv_rr","vf_rr","recomb_rate","ycv_rr_kosambi","cvv_rr_kosambi","vf_rr_kosambi","recomb_rate_kosambi"
"13","B","217","2x",120,8,49,63,346,0.023121387283237,0.141618497109827,0.182080924855491,0.346820809248555,2.31378893413113,14.5598954066811,19.0837859808298,35.957470321642
"13","C","217","2x",205,28,78,99,453,0.0618101545253863,0.172185430463576,0.218543046357616,0.452538631346578,6.21279339658331,17.9521532226799,23.4311524262536,47.5960990455168
"13","D","217","2x",98,20,33,45,208,0.0961538461538462,0.158653846153846,0.216346153846154,0.471153846153846,9.73661916904308,16.4325262196702,23.1602215509935,49.3293669397068
"14","A","217","1x",106,8,25,73,277,0.0288808664259928,0.0902527075812274,0.263537906137184,0.382671480144404,2.89130504235935,9.12525383539627,29.3043713961282,41.3209302738838
"14","B","217","1x",104,12,32,60,252,0.0476190476190476,0.126984126984127,0.238095238095238,0.412698412698413,4.77638091906774,12.9825062689241,25.9022982921694,43.6611854801612
"14","C","217","1x",89,12,38,39,181,0.0662983425414365,0.209944751381215,0.215469613259669,0.49171270718232,6.66910434475251,22.3778933684424,23.0524768367476,52.0994745499425
"14","D","217","1x",119,13,43,63,270,0.0481481481481481,0.159259259259259,0.233333333333333,0.440740740740741,4.82978072577146,16.4998743310761,25.290022791962,46.6196778488096
"15","A","42","2x",28,7,5,16,57,0.12280701754386,0.087719298245614,0.280701754385965,0.491228070175439,12.5369940336938,8.86362544202269,31.7440136215985,53.144633097315
"15","B","42","2x",1,0,0,1,11,0,0,0.0909090909090909,0.0909090909090909,0,0,9.19311950313294,9.19311950313294
"15","C","42","2x",16,2,6,8,24,0.0833333333333333,0.25,0.333333333333333,0.666666666666667,8.41180591553032,27.4653072167027,40.2359478108525,76.1130609430856
"15","D","42","2x",10,1,3,6,30,0.0333333333333333,0.1,0.2,0.333333333333333,3.33828481561306,10.1366277027041,21.1824465096801,34.6573590279973
"16","A","42","1x",80,9,22,49,217,0.0414746543778802,0.101382488479263,0.225806451612903,0.368663594470046,4.15701723549167,10.2807203206229,24.3362286428526,38.7739661989671
"16","B","42","1x",91,3,33,55,216,0.0138888888888889,0.152777777777778,0.25462962962963,0.421296296296296,1.38924627887027,15.7817944210464,28.086457181366,45.2574978812827
"16","C","42","1x",85,16,28,41,183,0.087431693989071,0.153005464480874,0.224043715846995,0.46448087431694,8.83395478281846,15.806911636823,24.1152327286241,48.7560991482655
"16","D","42","1x",70,12,16,42,149,0.0805369127516778,0.10738255033557,0.281879194630872,0.469798657718121,8.12444642988694,10.9080774117017,31.9162795917516,50.9488034333403
"17","A","217","0.5x",39,8,17,14,82,0.0975609756097561,0.207317073170732,0.170731707317073,0.475609756097561,9.88281841610366,22.0597295049618,17.7874079807035,49.729955901769
"17","B","217","0.5x",37,5,15,17,94,0.0531914893617021,0.159574468085106,0.180851063829787,0.393617021276596,5.33935250745148,16.5349620561341,18.9421425424379,40.8164571060235
"17","C","217","0.5x",42,6,13,23,90,0.0666666666666667,0.144444444444444,0.255555555555556,0.466666666666667,6.70659966486698,14.8676776936673,28.2116312954448,49.7859086539791
"17","D","217","0.5x",24,2,7,15,48,0.0416666666666667,0.145833333333333,0.3125,0.5,4.17635211657916,15.0193465107233,36.6584267198357,55.8541253471381
"18","A","217","1x",80,3,25,52,210,0.0142857142857143,0.119047619047619,0.247619047619048,0.380952380952381,1.42896034599872,12.1376953945425,27.1488472949047,40.7155030354459
"18","B","217","1x",38,2,13,23,98,0.0204081632653061,0.13265306122449,0.23469387755102,0.387755102040816,2.04195077535668,13.5903861647245,25.4642395248643,41.0965764649456
"18","C","217","1x",101,12,47,42,220,0.0545454545454545,0.213636363636364,0.190909090909091,0.459090909090909,5.47633915156712,22.8277769739194,20.1093203917542,48.4134365172407
"18","D","217","1x",41,2,20,19,119,0.0168067226890756,0.168067226890756,0.159663865546218,0.34453781512605,1.68130567522919,17.4864087438303,16.5449162668967,35.7126306859562
"20","A","42","1x",11,1,4,6,24,0.0416666666666667,0.166666666666667,0.25,0.458333333333333,4.17635211657916,17.3286795139986,27.4653072167027,48.9703388472805
"20","B","42","1x",49,5,25,19,103,0.0485436893203883,0.242718446601942,0.184466019417476,0.475728155339806,4.86970813897711,26.5036501960078,19.3593155120633,50.7326738470482
"20","C","42","1x",37,6,20,11,65,0.0923076923076923,0.307692307692308,0.169230769230769,0.569230769230769,9.33783770753905,35.8771131322331,17.6177000740255,62.8326509137977
"20","D","42","1x",47,12,17,18,77,0.155844155844156,0.220779220779221,0.233766233766234,0.61038961038961,16.1207150822284,23.7082521404693,25.3453938002008,65.1743610228985
"21","A","42","0.5x",77,14,26,37,137,0.102189781021898,0.18978102189781,0.27007299270073,0.562043795620438,10.3649397917859,19.9773939642332,30.2180851771133,60.5604189331324
